date,brand_id,store_location,revenue
2016/1/1,1,United States-CA,100
2016/1/1,1,United States-TX,420
2016/1/1,1,United States-NY,142
2016/1/2,1,United States-CA,231
2016/1/2,1,United States-TX,2342
2016/1/2,1,United States-NY,232
2016/1/3,1,United States-CA,100
2016/1/3,1,United States-TX,420
2016/1/3,1,United States-NY,3245
2016/1/4,1,United States-CA,34
2016/1/4,1,United States-TX,3
2016/1/4,1,United States-NY,54
2016/1/5,1,United States-CA,45
2016/1/5,1,United States-TX,423
2016/1/5,1,United States-NY,234
2016/1/1,2,United States-CA,234
2016/1/1,2,United States-TX,234
2016/1/1,2,United States-NY,142
2016/1/2,2,United States-CA,234
2016/1/2,2,United States-TX,3423
2016/1/2,2,United States-NY,2342
2016/1/3,2,United States-CA,234234
2016/1/6,3,United States-TX,3
2016/1/3,2,United States-TX,3
2016/1/3,2,United States-NY,234
2016/1/4,2,United States-CA,2
2016/1/4,2,United States-TX,2354
2016/1/4,2,United States-NY,45235
2016/1/5,2,United States-CA,23
2016/1/5,2,United States-TX,4
2016/1/5,2,United States-NY,124